"row_id","incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","supervisor_district_2012","latitude","longitude","point","data_as_of","data_loaded_at"
"156136306224","2026-04-01T00:00:00.000","2026-04-01T00:00:00.000","00:00","2026","Wednesday","2026-04-01T12:34:00.000","1561363","266035027",,"II","Coplogic Initial","true","06224","Larceny Theft","Larceny - From Vehicle","Theft, From Unlocked Vehicle, >$950","Open or Active","20TH AVE \ QUINTARA ST","23206000","Taraval","Sunset/Parkside","4","4","37.748600006103516","-122.4771499633789","POINT (-122.477149963 37.748600006)","2026-04-09T09:34:27.000","2026-04-10T09:58:05.000"
"156267106221","2026-04-01T05:30:00.000","2026-04-01T00:00:00.000","05:30","2026","Wednesday","2026-04-14T16:48:00.000","1562671","260207729","261042497","II","Initial",,"06221","Larceny Theft","Larceny - From Vehicle","Theft, From Unlocked Vehicle, <$50","Open or Active","17TH ST \ TREAT AVE","24053000","Mission","Mission","9","9","37.763824462890625","-122.41358947753906","POINT (-122.413589478 37.763824463)","2026-04-15T09:34:21.000","2026-04-16T10:01:33.000"
"155962006244","2026-04-01T10:45:00.000","2026-04-01T00:00:00.000","10:45","2026","Wednesday","2026-04-01T19:30:00.000","1559620","260182068","260912982","II","Initial",,"06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","JACKSON ST \ KEARNY ST","24778000","Central","Chinatown","3","3","37.79621124267578","-122.40514373779297","POINT (-122.405143738 37.796211243)","2026-04-02T12:09:23.000","2026-04-03T09:57:35.000"
"155957106223","2026-04-01T13:50:00.000","2026-04-01T00:00:00.000","13:50","2026","Wednesday","2026-04-01T15:14:00.000","1559571","260181521","260912185","II","Initial",,"06223","Larceny Theft","Larceny - From Vehicle","Theft, From Unlocked Vehicle, $200-$950","Open or Active","HUDSON AVE \ WESTBROOK CT","20189000","Bayview","Bayview Hunters Point","10","10","37.73497772216797","-122.38313293457031","POINT (-122.383132935 37.734977722)","2026-04-02T12:09:23.000","2026-04-03T09:57:35.000"
"155956006244","2026-04-01T14:30:00.000","2026-04-01T00:00:00.000","14:30","2026","Wednesday","2026-04-01T15:11:00.000","1559560","260181515","260912178","II","Initial",,"06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","EL CAMINO DEL MAR \ LEGION OF HONOR DR","51489000","Richmond","Lincoln Park","1","1","37.785667419433594","-122.50037384033203","POINT (-122.50037384 37.785667419)","2026-04-02T12:09:23.000","2026-04-03T09:57:35.000"
"155962106244","2026-04-01T17:45:00.000","2026-04-01T00:00:00.000","17:45","2026","Wednesday","2026-04-01T17:53:00.000","1559621","260181929","260912726","II","Initial",,"06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","17TH AVE \ TARAVAL ST","23179000","Taraval","West of Twin Peaks","7","7","37.74314498901367","-122.47355651855469","POINT (-122.473556519 37.743144989)","2026-04-02T12:09:23.000","2026-04-03T09:57:35.000"
"156000306244","2026-04-01T20:00:00.000","2026-04-01T00:00:00.000","20:00","2026","Wednesday","2026-04-02T11:02:00.000","1560003","266032073",,"II","Coplogic Initial","true","06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","MARIPOSA ST \ VERMONT ST","23777000","Bayview","Potrero Hill","10","10","37.76338195800781","-122.40437316894531","POINT (-122.404373169 37.763381958)","2026-04-03T09:36:46.000","2026-04-04T09:56:52.000"
"155983306242","2026-04-01T22:00:00.000","2026-04-01T00:00:00.000","22:00","2026","Wednesday","2026-04-02T15:12:00.000","1559833","260183878","260922296","II","Initial",,"06242","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, $50-$200","Open or Active","MARIPOSA ST \ VERMONT ST","23777000","Bayview","Potrero Hill","10","10","37.76338195800781","-122.40437316894531","POINT (-122.404373169 37.763381958)","2026-04-03T09:36:46.000","2026-04-04T09:56:52.000"
"156179006244","2026-04-02T02:00:00.000","2026-04-02T00:00:00.000","02:00","2026","Thursday","2026-04-06T14:34:00.000","1561790","266035691",,"II","Coplogic Initial","true","06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","GIRARD ST \ WOOLSEY ST","20631000","Bayview","Portola","9","9","37.7249755859375","-122.40360260009766","POINT (-122.4036026 37.724975586)","2026-04-11T09:34:02.000","2026-04-12T09:57:47.000"
"155977506222","2026-04-02T07:00:00.000","2026-04-02T00:00:00.000","07:00","2026","Thursday","2026-04-02T14:14:00.000","1559775","260183674","260922080","II","Initial",,"06222","Larceny Theft","Larceny - From Vehicle","Theft, From Unlocked Vehicle, $50-$200","Open or Active","MONTGOMERY ST \ SUTTER ST","24678000","Central","Financial District/South Beach","3","3","37.7900390625","-122.40219116210938","POINT (-122.402191162 37.790039062)","2026-04-03T09:36:46.000","2026-04-04T09:56:52.000"
